prompt_id,start_timestamp,finish_timestamp,model,total_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,load_duration
0,1748593269585342433,1748593288807121308,deepseek-r1:1.5b,,,,,,
1,1748593288956198105,1748593468808870322,deepseek-r1:1.5b,179840098714,41,2096052914,1625,177715747138,25832579
2,1748593469225660297,1748593596533949737,deepseek-r1:1.5b,127296823414,42,2234951690,1177,125036207794,25078210
