timestamp,prompt_id,temperature,frequency,voltage,throttling,mem_total,mem_used,mem_percent,mem_pid,cpu_usage_pid,swap_total,swap_used,swap_percent,cpu_usage,fan_speed
1748594837742282044,1,83.4,147471832150,0.8394,917512,8455307264,3474636800,42.2,62160896,0.0,1073725440,4194304,0.4,96.8,8436
1748594838764553723,1,83.4,147471869828,0.8394,917512,8455307264,3470327808,42.2,62160896,0.0,1073725440,4194304,0.4,96.6,8474
1748594839788459024,1,85.1,90194403624,0.8394,917512,8455307264,3468312576,42.2,62160896,0.0,1073725440,4194304,0.4,97.3,8505
1748594840810370610,1,84.0,146045761024,0.8394,917512,8455307264,3467952128,42.1,62160896,0.0,1073725440,4194304,0.4,95.6,8527
1748594841830067891,1,84.0,146045863510,0.72,917512,8455307264,3468247040,42.1,62160896,0.0,1073725440,4194304,0.4,97.1,8549
1748594842862917005,1,84.5,142908530688,0.72,917510,8455307264,3467755520,42.1,62160896,0.0,1073725440,4194304,0.4,95.6,8576
1748594843883878272,1,84.5,142908478276,0.8394,917512,8455307264,3464740864,42.1,62160896,0.0,1073725440,4194304,0.4,96.6,8600
1748594844908381773,1,84.5,142908491776,0.8394,917512,8455307264,3461185536,42.1,62160896,0.0,1073725440,4194304,0.4,95.4,8628
1748594845930223750,1,79.0,154618982710,0.8394,917504,8455307264,3466133504,42.1,62160896,0.0,1073725440,4194304,0.4,35.5,8653
1748594846947252927,1,76.3,154618968072,0.8394,917504,8455307264,3468345344,42.2,62160896,0.0,1073725440,4194304,0.4,26.3,8670
1748594847981993692,2,75.7,154618954880,0.8394,917504,8455307264,3468066816,42.1,62160896,0.0,1073725440,4194304,0.4,37.5,8700
1748594848998393704,2,81.8,154618982710,0.8394,917512,8455307264,3468804096,42.2,62160896,0.0,1073725440,4194304,0.4,96.8,8728
1748594850016240137,2,82.3,150609230184,0.8394,917512,8455307264,3468263424,42.1,62160896,0.0,1073725440,4194304,0.4,98.5,8748
1748594851044546373,2,82.9,152035262614,0.8394,917512,8455307264,3466952704,42.1,62160896,0.0,1073725440,4194304,0.4,95.6,8779
1748594852074306899,2,84.0,146045813334,0.8394,917512,8455307264,3466592256,42.1,62160896,0.0,1073725440,4194304,0.4,97.3,8802
1748594853104446763,2,83.4,150609217088,0.8394,917512,8455307264,3465396224,42.1,62160896,0.0,1073725440,4194304,0.4,96.8,8826
1748594854137457535,2,83.4,142908478276,0.8394,917512,8455307264,3464577024,42.1,62160896,0.0,1073725440,4194304,0.4,97.6,8844
1748594855156698753,2,82.9,147471935336,0.8394,917512,8455307264,3465134080,42.1,62160896,0.0,1073725440,4194304,0.4,96.6,8865
1748594856181170153,2,85.1,146045813334,0.8394,917512,8455307264,3464888320,42.1,62160896,0.0,1073725440,4194304,0.4,96.4,8875
1748594857214784387,2,84.0,146045798002,0.72,917512,8455307264,3466166272,42.1,62160896,0.0,1073725440,4194304,0.4,97.3,8891
1748594858243454247,2,82.9,152035354422,0.8394,917512,8455307264,3465707520,42.1,62160896,0.0,1073725440,4194304,0.4,96.9,8910
1748594859272506370,2,84.0,142908491776,0.8394,917510,8455307264,3464462336,42.1,62160896,0.0,1073725440,4194304,0.4,97.6,8925
