timestamp,prompt_id,temperature,frequency,voltage,throttling,mem_total,mem_used,mem_percent,mem_pid,cpu_usage_pid,swap_total,swap_used,swap_percent,cpu_usage,fan_speed
1748593269602579121,0,61.5,154619020388,0.8394,917504,8455307264,1895251968,23.6,62619648,0.0,1073725440,0,0.0,28.6,2229
1748593270619539987,0,61.5,154618982710,0.8394,917504,8455307264,2074656768,25.7,62619648,0.0,1073725440,0,0.0,19.9,3718
1748593271636382834,0,61.5,154618968072,0.8394,917504,8455307264,2142617600,26.5,62619648,0.0,1073725440,0,0.0,3.4,3896
1748593272653167218,0,60.9,154618968072,0.8394,917504,8455307264,2271821824,28.0,62619648,0.0,1073725440,0,0.0,2.9,3913
1748593273669959341,0,60.9,154619020388,0.8394,917504,8455307264,2373287936,29.2,62619648,0.0,1073725440,0,0.0,1.7,3921
1748593274686910260,0,60.4,90194467204,0.72,917504,8455307264,2465513472,30.3,62619648,0.0,1073725440,0,0.0,1.2,3924
1748593275705731855,0,60.4,90194416726,0.72,917504,8455307264,2462810112,30.3,62619648,0.0,1073725440,0,0.0,0.7,3927
1748593276724340136,0,59.8,90194403624,0.72,917504,8455307264,2464251904,30.3,62619648,0.0,1073725440,0,0.0,1.0,3932
1748593277743211230,0,59.8,90194416726,0.72,917504,8455307264,2464251904,30.3,62619648,0.0,1073725440,0,0.0,2.0,3934
1748593278761767880,0,59.8,90194403624,0.72,917504,8455307264,2463449088,30.3,62619648,0.0,1073725440,0,0.0,0.7,3941
1748593279780453881,0,58.2,90194454102,0.72,917504,8455307264,2461974528,30.3,62619648,0.0,1073725440,0,0.0,0.7,3945
1748593280799417806,0,58.7,90194403624,0.72,917504,8455307264,2549612544,31.3,62619648,0.0,1073725440,0,0.0,1.0,3948
1748593281818299341,0,58.7,90194416726,0.72,917504,8455307264,2594619392,31.8,62619648,0.0,1073725440,0,0.0,2.7,3951
1748593282838511630,0,57.6,90194403624,0.72,917504,8455307264,2710585344,33.2,62619648,0.0,1073725440,0,0.0,2.9,3955
1748593283857281257,0,59.3,90194416726,0.72,917504,8455307264,2802515968,34.3,62619648,0.0,1073725440,0,0.0,1.7,3958
1748593284875784756,0,59.3,90194416726,0.72,917504,8455307264,2896805888,35.4,62619648,0.0,1073725440,0,0.0,1.0,3964
1748593285894309364,0,59.3,94489412132,0.7294,917504,8455307264,2947923968,36.0,62619648,0.0,1073725440,0,0.0,2.5,3968
1748593286914598002,0,58.7,90194388992,0.72,917504,8455307264,3076276224,38.0,62619648,0.0,1073725440,0,0.0,1.2,3971
1748593287935471581,0,57.1,94489346920,0.7294,917504,8455307264,3174285312,38.7,62619648,0.0,1073725440,0,0.0,1.7,3976
1748593288975741654,1,59.8,154618982710,0.8394,917504,8455307264,3503702016,42.6,62619648,0.0,1073725440,0,0.0,75.0,3977
1748593290004348849,1,67.0,154619033490,0.8394,917504,8455307264,3504521216,42.6,62619648,0.0,1073725440,0,0.0,100.0,3986
1748593291021924421,1,69.7,154618968072,0.8394,917504,8455307264,3505176576,42.6,62619648,0.0,1073725440,0,0.0,100.0,3988
1748593292040507007,1,71.9,154619020388,0.8394,917504,8455307264,3504488448,42.6,62619648,0.0,1073725440,0,0.0,97.6,5339
1748593293067568595,1,74.1,154619048224,0.8394,917504,8455307264,3502374912,42.6,62619648,0.0,1073725440,0,0.0,97.8,5547
1748593294089150686,1,76.8,154618954880,0.8394,917504,8455307264,3498344448,42.5,62619648,0.0,1073725440,0,0.0,98.0,5572
1748593295109694187,1,78.5,154619033490,0.8394,917504,8455307264,3495870464,42.5,62619648,0.0,1073725440,0,0.0,98.1,7614
1748593296133912637,1,78.5,154618982710,0.8394,917504,8455307264,3487940608,42.4,62619648,0.0,1073725440,0,0.0,98.0,7869
