prompt_id,start_timestamp,finish_timestamp,model,total_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,load_duration
0,1748594796743710219,1748594814721379360,gemma3:1b,,,,,,
1,1748594814927173906,1748594847611847867,gemma3:1b,30138774394,47,1632939433,351,28401190741,103836468
2,1748594847964398091,1748594936021918339,gemma3:1b,88047714498,48,1474097040,995,86499324773,73644024
