timestamp,prompt_id,temperature,frequency,voltage,throttling,mem_total,mem_used,mem_percent,mem_pid,cpu_usage_pid,swap_total,swap_used,swap_percent,cpu_usage,fan_speed
1748593743184637587,0,60.4,154618954880,0.8394,917504,8455307264,1943977984,24.1,63733760,0.0,1073725440,0,0.0,28.6,2287
1748593744201568788,0,59.8,154618982710,0.8394,917504,8455307264,2107064320,26.1,63733760,0.0,1073725440,0,0.0,23.3,2285
1748593745219143040,0,59.8,154619033490,0.8394,917504,8455307264,2106900480,26.1,63733760,0.0,1073725440,0,0.0,2.0,2284
1748593746235691612,0,59.8,154618982710,0.8394,917504,8455307264,2103132160,26.0,63733760,0.0,1073725440,0,0.0,1.2,2283
1748593747252273851,0,59.8,154619033490,0.8394,917504,8455307264,2105081856,26.1,63733760,0.0,1073725440,0,0.0,0.2,2282
1748593748269155347,0,59.8,90194403624,0.72,917504,8455307264,2244820992,27.7,63733760,0.0,1073725440,0,0.0,2.0,3141
1748593749287873057,0,58.7,90194416726,0.72,917504,8455307264,2337505280,28.8,63733760,0.0,1073725440,0,0.0,2.0,3939
1748593750307860409,0,59.3,90194403624,0.72,917504,8455307264,2399961088,29.5,63733760,0.0,1073725440,0,0.0,1.7,4014
1748593751327550429,0,58.2,90194454102,0.72,917504,8455307264,2398437376,29.5,63733760,0.0,1073725440,0,0.0,1.0,4021
1748593752347090061,0,58.7,90194416726,0.72,917504,8455307264,2510209024,30.8,63733760,0.0,1073725440,0,0.0,2.0,4024
1748593753366735136,0,58.2,90194416726,0.72,917504,8455307264,2596683776,31.9,63733760,0.0,1073725440,0,0.0,2.0,4023
1748593754486289764,0,57.6,103079380292,0.7569,917504,8455307264,2678505472,32.8,63733760,0.0,1073725440,0,0.0,4.4,4026
1748593755509097585,0,57.6,90194403624,0.72,917504,8455307264,2808692736,34.4,63733760,0.0,1073725440,0,0.0,2.2,4031
1748593756528128736,0,57.6,94489374756,0.7294,917504,8455307264,2889990144,35.3,63733760,0.0,1073725440,0,0.0,2.0,4031
1748593757547434256,0,57.6,90194403624,0.72,917504,8455307264,2978103296,36.4,63733760,0.0,1073725440,0,0.0,1.7,4034
1748593758566389000,0,56.5,90194388992,0.72,917504,8455307264,3039133696,37.1,63733760,0.0,1073725440,0,0.0,1.5,4033
1748593759585113263,0,57.6,90194388992,0.72,917504,8455307264,3143270400,38.8,63733760,0.0,1073725440,0,0.0,2.2,4034
1748593760606214608,0,58.2,90194403624,0.72,917504,8455307264,3243163648,39.5,63733760,0.0,1073725440,0,0.0,1.5,4040
1748593761625044962,0,57.1,90194454102,0.72,917504,8455307264,3323641856,40.5,63733760,0.0,1073725440,0,0.0,1.2,4038
1748593762643921187,0,57.6,90194454102,0.72,917504,8455307264,3416014848,41.6,63733760,0.0,1073725440,0,0.0,2.2,4040
1748593763662555208,0,56.5,90194403624,0.72,917504,8455307264,3482271744,42.3,63733760,0.0,1073725440,0,0.0,1.5,4045
1748593764681675524,0,57.1,90194388992,0.72,917504,8455307264,3571449856,43.4,63733760,0.0,1073725440,0,0.0,1.7,4046
1748593765700804487,0,57.6,94489412132,0.7294,917504,8455307264,3672981504,44.6,63733760,0.0,1073725440,0,0.0,1.7,4050
1748593766720707095,0,57.1,90194416726,0.72,917504,8455307264,3771908096,45.8,63733760,0.0,1073725440,0,0.0,2.7,4050
1748593767740411333,0,57.6,90194388992,0.72,917504,8455307264,3853844480,46.7,63733760,0.0,1073725440,0,0.0,2.2,4055
1748593768760835142,0,57.1,90194454102,0.72,917504,8455307264,3926016000,47.6,63733760,0.0,1073725440,0,0.0,2.2,4055
1748593769779939437,0,57.1,90194403624,0.72,917504,8455307264,3936649216,47.7,63733760,0.0,1073725440,0,0.0,0.7,4060
1748593770798793252,0,56.5,90194454102,0.72,917504,8455307264,3934961664,47.7,63733760,0.0,1073725440,0,0.0,0.7,4062
1748593771817834215,0,57.1,90194416726,0.72,917504,8455307264,3996254208,48.4,63733760,0.0,1073725440,0,0.0,1.5,4061
1748593772837115305,0,57.1,90194388992,0.72,917504,8455307264,4094164992,49.6,63733760,0.0,1073725440,0,0.0,1.7,4065
1748593773856289063,0,58.2,154618982710,0.8394,917504,8455307264,5166202880,62.7,63733760,0.0,1073725440,4194304,0.4,5.0,4067
1748593776090356330,1,58.7,154618954880,0.8394,917504,8455307264,5168513024,62.3,63733760,0.0,1073725440,4194304,0.4,0.0,4071
1748593777352163360,1,58.7,154619033490,0.8394,917504,8455307264,5168316416,62.3,63733760,0.0,1073725440,4194304,0.4,0.8,4076
1748593778369173366,1,58.2,154619020388,0.8394,917504,8455307264,5169741824,62.3,63733760,0.0,1073725440,4194304,0.4,0.0,4076
1748593779385613300,1,58.2,90194403624,0.72,917504,8455307264,5168840704,62.3,63733760,0.0,1073725440,4194304,0.4,0.2,4077
1748593782082769188,1,65.3,154619020388,0.8394,917504,8455307264,5162795008,62.2,63733760,0.0,1073725440,4194304,0.4,31.5,4081
1748593783100718411,1,67.5,154618982710,0.8394,917504,8455307264,5161779200,62.2,63733760,0.0,1073725440,4194304,0.4,100.0,4086
1748593784118398617,1,70.8,154619020388,0.8394,917504,8455307264,5157978112,62.1,63733760,0.0,1073725440,4194304,0.4,100.0,5085
1748593785137621279,1,73.0,154619020388,0.8394,917504,8455307264,5151162368,62.1,63733760,0.0,1073725440,4194304,0.4,100.0,5642
1748593786158282342,1,74.1,154619033490,0.8394,917504,8455307264,5145329664,62.0,63733760,0.0,1073725440,4194304,0.4,100.0,5702
